"extra_hours","raw_extra_pay","extra_pay_with_taper","extra_pay_with_tax","extra_pay_with_taper_tax","extra_pay_wa_baseline_0","extra_pay_wa_baseline_7","extra_pay_wa_baseline_8"
3.75,33.4125,12.362625,22.7205,8.406585,33.4125,19.217025,13.603725
3.76,33.5016,12.395592,22.781088,8.42900256,33.5016,19.249992,13.636692
3.77,33.5907,12.428559,22.841676,8.45142012,33.5907,19.282959,13.669659
3.78,33.6798,12.461526,22.902264,8.47383768,33.6798,19.315926,13.702626
3.79,33.7689,12.494493,22.962852,8.49625524,33.7689,19.348893,13.735593
3.8,33.858,12.52746,23.02344,8.5186728,33.858,19.38186,13.76856
3.81,33.9471,12.560427,23.084028,8.54109036,33.9471,19.414827,13.801527
3.82,34.0362,12.593394,23.144616,8.56350792,34.0362,19.447794,13.834494
3.83,34.1253,12.626361,23.205204,8.58592548,34.1253,19.480761,13.867461
3.84,34.2144,12.659328,23.265792,8.60834304,34.2144,19.513728,13.900428
3.85,34.3035,12.692295,23.32638,8.6307606,34.3035,19.546695,13.933395
3.86,34.3926,12.725262,23.386968,8.65317816,34.3926,19.579662,13.966362
3.87,34.4817,12.758229,23.447556,8.67559572,34.4817,19.612629,13.999329
3.88,34.5708,12.791196,23.508144,8.69801328,34.5708,19.645596,14.032296
3.89,34.6599,12.824163,23.568732,8.72043084,34.6599,19.678563,14.065263
3.9,34.749,12.85713,23.62932,8.7428484,34.749,19.71153,14.09823
3.91,34.8381,12.890097,23.689908,8.76526596,34.8381,19.744497,14.131197
3.92,34.9272,12.923064,23.750496,8.78768352,34.9272,19.777464,14.164164
3.93,35.0163,12.956031,23.811084,8.81010108,35.0163,19.810431,14.197131
3.94,35.1054,12.988998,23.871672,8.83251864,35.1054,19.843398,14.230098
3.95,35.1945,13.021965,23.93226,8.8549362,35.1945,19.876365,14.263065
3.96,35.2836,13.054932,23.992848,8.87735376,35.2836,19.909332,14.296032
3.97,35.3727,13.087899,24.053436,8.89977132,35.3727,19.942299,14.328999
3.98,35.4618,13.120866,24.114024,8.92218888,35.4618,19.975266,14.361966
3.99,35.5509,13.153833,24.174612,8.94460644,35.5509,20.008233,14.394933
4,35.64,13.1868,24.2352,8.967024,35.64,20.0412,14.4279
4.01,35.7291,13.219767,24.295788,8.98944156,35.7291,20.074167,14.460867
4.02,35.8182,13.252734,24.356376,9.01185912,35.8182,20.107134,14.493834
4.03,35.9073,13.285701,24.416964,9.03427668,35.9073,20.140101,14.526801
4.04,35.9964,13.318668,24.477552,9.05669424,35.9964,20.173068,14.559768
4.05,36.0855,13.351635,24.53814,9.0791118,36.0855,20.206035,14.592735
4.06,36.1746,13.384602,24.598728,9.10152936,36.1746,20.239002,14.625702
4.07,36.2637,13.417569,24.659316,9.12394692,36.2637,20.271969,14.658669
4.08,36.3528,13.450536,24.719904,9.14636448,36.3528,20.304936,14.691636
4.09,36.4419,13.483503,24.780492,9.16878204,36.4419,20.337903,14.724603
4.1,36.531,13.51647,24.84108,9.1911996,36.531,20.37087,14.75757
4.11,36.6201,13.549437,24.901668,9.21361716,36.6201,20.403837,14.790537
4.12,36.7092,13.582404,24.962256,9.23603472,36.7092,20.436804,14.823504
4.13,36.7983,13.615371,25.022844,9.25845228,36.7983,20.469771,14.856471
4.14,36.8874,13.648338,25.083432,9.28086984,36.8874,20.502738,14.889438
4.15,36.9765,13.681305,25.14402,9.3032874,36.9765,20.535705,14.922405
4.16,37.0656,13.714272,25.204608,9.32570496,37.0656,20.568672,14.955372
4.17,37.1547,13.747239,25.265196,9.34812252,37.1547,20.601639,14.988339
4.18,37.2438,13.780206,25.325784,9.37054008,37.2438,20.634606,15.021306
4.19,37.3329,13.813173,25.386372,9.39295764,37.3329,20.667573,15.054273
4.2,37.422,13.84614,25.44696,9.4153752,37.422,20.70054,15.08724
4.21,37.5111,13.879107,25.507548,9.43779276,37.5111,20.733507,15.120207
4.22,37.6002,13.912074,25.568136,9.46021032,37.6002,20.766474,15.153174
4.23,37.6893,13.945041,25.628724,9.48262788,37.6893,20.799441,15.186141
4.24,37.7784,13.978008,25.689312,9.50504544,37.7784,20.832408,15.219108
4.25,37.8675,14.010975,25.7499,9.527463,37.8675,20.865375,15.252075
4.26,37.9566,14.043942,25.810488,9.54988056,37.9566,20.898342,15.285042
4.27,38.0457,14.076909,25.871076,9.57229812,38.0457,20.931309,15.318009
4.28,38.1348,14.109876,25.931664,9.59471568,38.1348,20.964276,15.350976
4.29,38.2239,14.142843,25.992252,9.61713324,38.2239,20.997243,15.383943
4.3,38.313,14.17581,26.05284,9.6395508,38.313,21.03021,15.41691
4.31,38.4021,14.208777,26.113428,9.66196836,38.4021,21.063177,15.449877
4.32,38.4912,14.241744,26.174016,9.68438592,38.4912,21.096144,15.482844
4.33,38.5803,14.274711,26.234604,9.70680348,38.5803,21.129111,15.515811
4.34,38.6694,14.307678,26.295192,9.72922104,38.6694,21.162078,15.548778
4.35,38.7585,14.340645,26.35578,9.7516386,38.7585,21.195045,15.581745
4.36,38.8476,14.373612,26.416368,9.77405616,38.8476,21.228012,15.614712
4.37,38.9367,14.406579,26.476956,9.79647372,38.9367,21.260979,15.647679
4.38,39.0258,14.439546,26.537544,9.81889128,39.0258,21.293946,15.680646
4.39,39.1149,14.472513,26.598132,9.84130884,39.1149,21.326913,15.713613
